Quote,Author
"The more colorful the food, the better. I try to add color to my diet, which means vegetables and fruits.",Misty May-Treanor
"My dad was my best friend and greatest role model. He was an amazing dad, coach, mentor, soldier, husband and friend.",Tiger Woods
"Follow your passion, be prepared to work hard and sacrifice, and, above all, don't let anyone limit your dreams.",Donovan Bailey
"I don't design clothes, I design dreams.",Ralph Lauren
"America was not built on fear. America was built on courage, on imagination and an unbeatable determination to do the job at hand.",Harry S Truman
The best preparation for tomorrow is doing your best today.,"H. Jackson Brown, Jr."
I believe that imagination is stronger than knowledge. That myth is more potent than history. That dreams are more powerful than facts. That hope always triumphs over experience. That laughter is the only cure for grief. And I believe that love is stronger than death.,Robert Fulghum
"Perhaps one reason we are fascinated by cats is because such a small animal can contain so much independence, dignity, and freedom of spirit. Unlike the dog, the cat's personality is never bet on a human's. He demands acceptance on his own terms.",Lloyd Alexander
"Where we love is home - home that our feet may leave, but not our hearts.","Oliver Wendell Holmes, Sr."
Hope is being able to see that there is light despite all of the darkness.,Desmond Tutu
"Everything is funny, as long as it's happening to somebody else.",Will Rogers
Observe good faith and justice toward all nations. Cultivate peace and harmony with all.,George Washington
Behind every great man is a woman rolling her eyes.,Jim Carrey
The human body is the best picture of the human soul.,Ludwig Wittgenstein
All money is a matter of belief.,Adam Smith
The secret to happiness is freedom... And the secret to freedom is courage.,Thucydides
Education is what remains after one has forgotten what one has learned in school.,Albert Einstein
A healthy attitude is contagious but don't wait to catch it from others. Be a carrier.,Tom Stoppard
There is nothing on this earth more to be prized than true friendship.,Thomas Aquinas
"God wants us to know that life is a series of beginnings, not endings. Just as graduations are not terminations, but commencements. Creation is an ongoing process, and when we create a perfect world where love and compassion are shared by all, suffering will cease.",Bernie Siegel
The American Dream is a term that is often used but also often misunderstood. It isn't really about becoming rich or famous. It is about things much simpler and more fundamental than that.,Marco Rubio
"If you want to see the true measure of a man, watch how he treats his inferiors, not his equals.",J. K. Rowling
"You should never view your challenges as a disadvantage. Instead, it's important for you to understand that your experience facing and overcoming adversity is actually one of your biggest advantages.",Michelle Obama
"Sustainable development is the pathway to the future we want for all. It offers a framework to generate economic growth, achieve social justice, exercise environmental stewardship and strengthen governance.",Ban Ki-moon
"I've learned that fear limits you and your vision. It serves as blinders to what may be just a few steps down the road for you. The journey is valuable, but believing in your talents, your abilities, and your self-worth can empower you to walk down an even brighter path. Transforming fear into freedom - how great is that?",Soledad O'Brien
"The American flag is the symbol of our freedom, national pride and history.",Mike Fitzpatrick
"When the flower blooms, the bees come uninvited.",Ramakrishna
"Keep looking up! I learn from the past, dream about the future and look up. There's nothing like a beautiful sunset to end a healthy day.",Rachel Boston
"One good thing about music, when it hits you, you feel no pain.",Bob Marley
Talent is God given. Be humble. Fame is man-given. Be grateful. Conceit is self-given. Be careful.,John Wooden
"A Bill of Rights is what the people are entitled to against every government, and what no just government should refuse, or rest on inference.",Thomas Jefferson
Honesty is the fastest way to prevent a mistake from turning into a failure.,James Altucher
Food is not just eating energy. It's an experience.,Guy Fieri
"Knowledge is power. Information is liberating. Education is the premise of progress, in every society, in every family.",Kofi Annan
Faith is the bird that feels the light when the dawn is still dark.,Rabindranath Tagore
"Over the years, I have been a house painter, farm worker, paste-up artist, Easter Bunny, pizza delivery person, homeless shelter staff member, and counselor for adults and kids with mental illness - I quit my last real job in 2000 to work on writing full-time.",Jennifer McMahon
"Never forget the three powerful resources you always have available to you: love, prayer, and forgiveness.","H. Jackson Brown, Jr."
"We have these weapons of mass destruction on every street corner, and they're called donuts, cheeseburgers, French fries, potato chips, junk food. Our kids are living on a junk food diet.",Joel Fuhrman
"I would want my legacy to be that I was a great son, father and friend.",Dante Hall
"Follow your dreams, believe in yourself and don't give up.",Rachel Corrie
"There's design, and there's art. Good design is total harmony. There's no better designer than nature - if you look at a branch or a leaf, it's perfect. It's all function. Art is different. It's about emotion. It's about suffering and beauty - but mostly suffering!",Diane von Furstenberg
"Red is such an interesting color to correlate with emotion, because it's on both ends of the spectrum. On one end you have happiness, falling in love, infatuation with someone, passion, all that. On the other end, you've got obsession, jealousy, danger, fear, anger and frustration.",Taylor Swift
Out of difficulties grow miracles.,Jean de la Bruyere
"America was not built on fear. America was built on courage, on imagination and an unbeatable determination to do the job at hand.",Harry S Truman
"Violence as a way of achieving racial justice is both impractical and immoral. I am not unmindful of the fact that violence often brings about momentary results. Nations have frequently won their independence in battle. But in spite of temporary victories, violence never brings permanent peace.","Martin Luther King, Jr."
"Find joy in everything you choose to do. Every job, relationship, home... it's your responsibility to love it, or change it.",Chuck Palahniuk
"Where there is no vision, there is no hope.",George Washington Carver
Start every day off with a smile and get it over with.,W. C. Fields
"The American flag is the symbol of our freedom, national pride and history.",Mike Fitzpatrick
"Be stupid, be dumb, be funny, if that's who you are. Don't try to be someone that society wants you to be; that's stupid. So be yourself.",Christina Grimmie
"People talk about physical fitness, but mental health is equally important. I see people suffering, and their families feel a sense of shame about it, which doesn't help. One needs support and understanding. I am now working on an initiative to create awareness about anxiety and depression and help people.",Deepika Padukone
Inflation is taxation without legislation.,Milton Friedman
"Some days are just bad days, that's all. You have to experience sadness to know happiness, and I remind myself that not every day is going to be a good day, that's just the way it is!",Dita Von Teese
I have no special talent. I am only passionately curious.,Albert Einstein
It is health that is real wealth and not pieces of gold and silver.,Mahatma Gandhi
"Friends show their love in times of trouble, not in happiness.",Euripides
"It makes little difference how many university courses or degrees a person may own. If he cannot use words to move an idea from one point to another, his education is incomplete.",Norman Cousins
"My dear Mama, you are definitely the hen who hatched a famous duck.",Henri de Toulouse-Lautrec
"Until we get equality in education, we won't have an equal society.",Sonia Sotomayor
"Everyone has a purpose in life and a unique talent to give to others. And when we blend this unique talent with service to others, we experience the ecstasy and exultation of own spirit, which is the ultimate goal of all goals.",Kallam Anji Reddy
Environmental pollution is an incurable disease. It can only be prevented.,Barry Commoner
"Your work is going to fill a large part of your life, and the only way to be truly satisfied is to do what you believe is great work. And the only way to do great work is to love what you do. If you haven't found it yet, keep looking. Don't settle. As with all matters of the heart, you'll know when you find it.",Steve Jobs
"I believe our flag is more than just cloth and ink. It is a universally recognized symbol that stands for liberty, and freedom. It is the history of our nation, and it's marked by the blood of those who died defending it.",John Thune
"The glory of gardening: hands in the dirt, head in the sun, heart with nature. To nurture a garden is to feed not just on the body, but the soul.",Alfred Austin
"When you forgive, you in no way change the past - but you sure do change the future.",Bernard Meltzer
"Calm mind brings inner strength and self-confidence, so that's very important for good health.",Dalai Lama
"Every day I feel is a blessing from God. And I consider it a new beginning. Yeah, everything is beautiful.",Prince
Giving money and power to government is like giving whiskey and car keys to teenage boys.,P. J. O'Rourke
Success consists of going from failure to failure without loss of enthusiasm.,Winston Churchill
"There is no life to be found in violence. Every act of violence brings us closer to death. Whether it's the mundane violence we do to our bodies by overeating toxic food or drink or the extreme violence of child abuse, domestic warfare, life-threatening poverty, addiction, or state terrorism.",bell hooks
"To enjoy good health, to bring true happiness to one's family, to bring peace to all, one must first discipline and control one's own mind. If a man can control his mind he can find the way to Enlightenment, and all wisdom and virtue will naturally come to him.",Buddha
"Corruption is a cancer: a cancer that eats away at a citizen's faith in democracy, diminishes the instinct for innovation and creativity; already-tight national budgets, crowding out important national investments. It wastes the talent of entire generations. It scares away investments and jobs.",Joe Biden
"A strangely reflective, even melancholy day. Is that because, unlike our cousins in the northern hemisphere, Easter is not associated with the energy and vitality of spring but with the more subdued spirit of autumn?",Hugh Mackay
"The most important thing that I learned in growing up is that forgiveness is something that, when you do it, you free yourself to move on.",Tyler Perry
A healthy diet is a solution to many of our health-care problems. It's the most important solution.,John Mackey
You don't have to deserve your mother's love. You have to deserve your father's.,Robert Frost
I like the dreams of the future better than the history of the past.,Thomas Jefferson
Space is the breath of art.,Frank Lloyd Wright
"Fear keeps us focused on the past or worried about the future. If we can acknowledge our fear, we can realize that right now we are okay. Right now, today, we are still alive, and our bodies are working marvelously. Our eyes can still see the beautiful sky. Our ears can still hear the voices of our loved ones.",Thich Nhat Hanh
"Put your heart, mind, and soul into even your smallest acts. This is the secret of success.",Swami Sivananda
You can't depend on your eyes when your imagination is out of focus.,Mark Twain
The greatest gifts you can give your children are the roots of responsibility and the wings of independence.,Denis Waitley
A man travels the world over in search of what he needs and returns home to find it.,George A. Moore
"The less we deserve good fortune, the more we hope for it.",Lucius Annaeus Seneca
Comedy is simply a funny way of being serious.,Peter Ustinov
"I believe our flag is more than just cloth and ink. It is a universally recognized symbol that stands for liberty, and freedom. It is the history of our nation, and it's marked by the blood of those who died defending it.",John Thune
"There are only three things women need in life: food, water, and compliments.",Chris Rock
Fitness is not about being better than someone else... It's about being better than you used to be.,Khloe Kardashian
"You and I come by road or rail, but economists travel on infrastructure.",Margaret Thatcher
"Happiness is having a large, loving, caring, close-knit family in another city.",George Burns
Change is the end result of all true learning.,Leo Buscaglia
To keep the body in good health is a duty... otherwise we shall not be able to keep our mind strong and clear.,Buddha
The greatest healing therapy is friendship and love.,Hubert H. Humphrey
A graduation ceremony is an event where the commencement speaker tells thousands of students dressed in identical caps and gowns that 'individuality' is the key to success.,Robert Orben
"Famous people are deceptive. Deep down, they're just regular people. Like Larry King. We've been friends for forty years. He's one of the few guys I know who's really famous. One minute he's talking to the president on his cell phone, and then the next minute he's saying to me, 'Do you think we ought to give the waiter another dollar?'",Don Rickles
"Nobody can give you freedom. Nobody can give you equality or justice or anything. If you're a man, you take it.",Malcolm X
The only source of knowledge is experience.,Albert Einstein
Without the oceans there would be no life on Earth.,Peter Benchley
Great minds discuss ideas; average minds discuss events; small minds discuss people.,Eleanor Roosevelt
A hero is someone who understands the responsibility that comes with his freedom.,Bob Dylan
"Weeds are flowers too, once you get to know them.",A. A. Milne
It is not in the stars to hold our destiny but in ourselves.,William Shakespeare
"A good leader takes a little more than his share of the blame, a little less than his share of the credit.",Arnold H. Glasow
You cannot believe in God until you believe in yourself.,Swami Vivekananda
If the people cannot trust their government to do the job for which it exists - to protect them and to promote their common welfare - all else is lost.,Barack Obama
"At the end of the day, you are solely responsible for your success and your failure. And the sooner you realize that, you accept that, and integrate that into your work ethic, you will start being successful. As long as you blame others for the reason you aren't where you want to be, you will always be a failure.",Erin Cummings
An Englishman teaching an American about food is like the blind leading the one-eyed.,A. J. Liebling
"If a country is to be corruption free and become a nation of beautiful minds, I strongly feel there are three key societal members who can make a difference. They are the father, the mother and the teacher.",A. P. J. Abdul Kalam
Observe good faith and justice toward all nations. Cultivate peace and harmony with all.,George Washington
"Prince was outside his dressing room, shaking one of those little Easter egg maracas. His hair was straightened to a soft wave; his eyelashes were unfairly lovely. He smelled like the most expensive shelf in the Sephora perfume aisle. This man wearing eyeliner, heels and ladies' perfume somehow managed to be more masculine than the burly bodyguard.",Mayte Garcia
"To err is human; to forgive, divine.",Alexander Pope
An optimist is a person who starts a new diet on Thanksgiving Day.,Irv Kupcinet
I would say my greatest achievement in life right now - my greatest achievement period is - and I'm still trying to achieve it - is to be a wonderful father to my kids.,Bo Jackson
I believe that imagination is stronger than knowledge. That myth is more potent than history. That dreams are more powerful than facts. That hope always triumphs over experience. That laughter is the only cure for grief. And I believe that love is stronger than death.,Robert Fulghum
Successful design is not the achievement of perfection but the minimization and accommodation of imperfection.,Henry Petroski
You always have two choices: your commitment versus your fear.,"Sammy Davis, Jr."
It is during our darkest moments that we must focus to see the light.,Aristotle
There are no rules of architecture for a castle in the clouds.,Gilbert K. Chesterton
The United Nations is designed to make possible lasting freedom and independence for all its members.,Harry S Truman
"See, when you drive home today, you've got a big windshield on the front of your car. And you've got a little bitty rearview mirror. And the reason the windshield is so large and the rearview mirror is so small is because what's happened in your past is not near as important as what's in your future.",Joel Osteen
"The sky takes on shades of orange during sunrise and sunset, the colour that gives you hope that the sun will set only to rise again.",Ram Charan
"Smiling is definitely one of the best beauty remedies. If you have a good sense of humor and a good approach to life, that's beautiful.",Rashida Jones
"History repeats itself, first as tragedy, second as farce.",Karl Marx
No man has a good enough memory to be a successful liar.,Abraham Lincoln
Walking is the best possible exercise. Habituate yourself to walk very far.,Thomas Jefferson
"The war we are fighting today against terrorism is a multifaceted fight. We have to use every tool in our toolkit to wage this war - diplomacy, finance, intelligence, law enforcement, and of course, military power - and we are developing new tools as we go along.",Richard Armitage
"To enjoy good health, to bring true happiness to one's family, to bring peace to all, one must first discipline and control one's own mind. If a man can control his mind he can find the way to Enlightenment, and all wisdom and virtue will naturally come to him.",Buddha
"Knowledge is power. Information is liberating. Education is the premise of progress, in every society, in every family.",Kofi Annan
"Saving our planet, lifting people out of poverty, advancing economic growth... these are one and the same fight. We must connect the dots between climate change, water scarcity, energy shortages, global health, food security and women's empowerment. Solutions to one problem must be solutions for all.",Ban Ki-moon
Love is the only force capable of transforming an enemy into a friend.,"Martin Luther King, Jr."
"I grew up very differently than a lot of other people in my hometown in Mississippi. But I can't imagine my life any other way. I flew home and surprised my best friend at his graduation, and I remember turning to my mom and saying, 'My graduation was so much cooler than this.' I had Melissa Joan Hart give my commencement speech.",Taylor Spreitler
Fame is a fickle food upon a shifting plate.,Emily Dickinson
"Martin Luther King, Jr. didn't carry just a piece of cloth to symbolize his belief in racial equality; he carried the American flag.",Adrian Cronauer
"Our uniqueness, our individuality, and our life experience molds us into fascinating beings. I hope we can embrace that. I pray we may all challenge ourselves to delve into the deepest resources of our hearts to cultivate an atmosphere of understanding, acceptance, tolerance, and compassion. We are all in this life together.",Linda Thompson
"Election days come and go. But the struggle of the people to create a government which represents all of us and not just the one percent - a government based on the principles of economic, social, racial and environmental justice - that struggle continues.",Bernie Sanders
Great works are performed not by strength but by perseverance.,Samuel Johnson
"Instead of trying to make your life perfect, give yourself the freedom to make it an adventure, and go ever upward.",Drew Houston
"Remember that children, marriages, and flower gardens reflect the kind of care they get.","H. Jackson Brown, Jr."
"We are made wise not by the recollection of our past, but by the responsibility for our future.",George Bernard Shaw
"When you think positive, good things happen.",Matt Kemp
Do not let your hearts be troubled. Trust in God; trust also in me.,Jesus Christ
"The care of human life and happiness, and not their destruction, is the first and only object of good government.",Thomas Jefferson
"Your personal life, your professional life, and your creative life are all intertwined. I went through a few very difficult years where I felt like a failure. But it was actually really important for me to go through that. Struggle, for me, is the most inspirational thing in the world at the end of the day - as long as you treat it that way.",Skylar Grey
You better cut the pizza in four pieces because I'm not hungry enough to eat six.,Yogi Berra
The family is one of nature's masterpieces.,George Santayana
"In my deepest, darkest moments, what really got me through was a prayer. Sometimes my prayer was 'Help me.' Sometimes a prayer was 'Thank you.' What I've discovered is that intimate connection and communication with my creator will always get me through because I know my support, my help, is just a prayer away.",Iyanla Vanzant
"I wasn't allowed to have sugar as a kid. We didn't have candy or soda or anything, so Easter and Halloween were my favorite times 'cause I could eat as much candy as I wanted.",Kaley Cuoco
"Forgive me my nonsense, as I also forgive the nonsense of those that think they talk sense.",Robert Frost
"Simply by starting to cook again, you declare your independence from the culture of fast food. As soon as you cook, you start thinking about ingredients. You start thinking about plants and animals and not the microwave. And you will find that your diet, just by that one simple act, that is greatly improved.",Michael Pollan
"My father used to say that it's never too late to do anything you wanted to do. And he said, 'You never know what you can accomplish until you try.'",Michael Jordan
"Deep into that darkness peering, long I stood there, wondering, fearing, doubting, dreaming dreams no mortal ever dared to dream before.",Edgar Allan Poe
"I've always thought that design can have equal importance to the idea of internal architecture. Professionally, things can be very dogmatic - you do the architecture, someone else does the interiors, someone else does the furniture, the fabric, etc. But I think design is all-encompassing.",Zaha Hadid
"This world of ours... must avoid becoming a community of dreadful fear and hate, and be, instead, a proud confederation of mutual trust and respect.",Dwight D. Eisenhower
"Health is the greatest gift, contentment the greatest wealth, faithfulness the best relationship.",Buddha
Vision is the true creative rhythm.,Robert Delaunay
Diversity: the art of thinking independently together.,Malcolm Forbes
I love you - I am at rest with you - I have come home.,Dorothy L. Sayers
There was never a night or a problem that could defeat sunrise or hope.,Bernard Williams
"Be strong, believe in freedom and in God, love yourself, understand your sexuality, have a sense of humor, masturbate, don't judge people by their religion, color or sexual habits, love life and your family.",Madonna Ciccone
We are not makers of history. We are made by history.,"Martin Luther King, Jr."
"I may be drunk, Miss, but in the morning I will be sober and you will still be ugly.",Winston Churchill
Time and health are two precious assets that we don't recognize and appreciate until they have been depleted.,Denis Waitley
"One of the funny things about the stock market is that every time one person buys, another sells, and both think they are astute.",William Feather
"Happiness doesn't depend on any external conditions, it is governed by our mental attitude.",Dale Carnegie
Education is not just about going to school and getting a degree. It's about widening your knowledge and absorbing the truth about life.,Shakuntala Devi
"If you don't think your anxiety, depression, sadness and stress impact your physical health, think again. All of these emotions trigger chemical reactions in your body, which can lead to inflammation and a weakened immune system. Learn how to cope, sweet friend. There will always be dark days.",Kris Carr
It is one of the blessings of old friends that you can afford to be stupid with them.,Ralph Waldo Emerson
"The idea of winning a doctor's degree gradually assumed the aspect of a great moral struggle, and the moral fight possessed immense attraction for me.",Elizabeth Blackwell
"If I wasn't even famous or had any success, I would still wake up and put tons of make-up on, and put on a cool outfit. That's always been who I've been my whole life, so that's never gonna change. I love fashion. I love getting dressed up. I love Halloween, too.",Gwen Stefani
"Let us remember we are all part of one American family. We are united in common values, and that includes belief in equality under the law, basic respect for public order, and the right of peaceful protest.",Barack Obama
Practice does not make perfect. Only perfect practice makes perfect.,Vince Lombardi
The Earth does not belong to us: we belong to the Earth.,Marlee Matlin
Behind every great man is a woman rolling her eyes.,Jim Carrey
"Money won't create success, the freedom to make it will.",Nelson Mandela
"In search of my mother's garden, I found my own.",Alice Walker
I like the dreams of the future better than the history of the past.,Thomas Jefferson
"Goodness is about character - integrity, honesty, kindness, generosity, moral courage, and the like. More than anything else, it is about how we treat other people.",Dennis Prager
"I can find God in nature, in animals, in birds and the environment.",Pat Buckley
We are losing sight of civility in government and politics. Debate and dialogue is taking a back seat to the politics of destruction and anger and control. Dogma has replaced thoughtful discussion between people of differing views.,James McGreevey
A man who has never made a woman angry is a failure in life.,Christopher Morley
"Food, to me, is always about cooking and eating with those you love and care for.",David Chang
I believe that the greatest gift you can give your family and the world is a healthy you.,Joyce Meyer
"Through hard work, perseverance and a faith in God, you can live your dreams.",Ben Carson
"A rule I have had for years is: to treat the Lord Jesus Christ as a personal friend. His is not a creed, a mere doctrine, but it is He Himself we have.",Dwight L. Moody
"Forgive your enemies, but never forget their names.",John F. Kennedy
"We must not be misled by left-wing incompetent news media that, day after day, feed us a diet of fantasy telling us we are bigots, racists and hate-mongers.",George Wallace
"I think my mom put it best. She said, 'Little girls soften their daddy's hearts.'",Paul Walker
"Trust in dreams, for in them is hidden the gate to eternity.",Khalil Gibran
The curious task of economics is to demonstrate to men how little they really know about what they imagine they can design.,Friedrich August von Hayek
If you know the enemy and know yourself you need not fear the results of a hundred battles.,Sun Tzu
"I can't change the direction of the wind, but I can adjust my sails to always reach my destination.",Jimmy Dean
"Every human has four endowments - self awareness, conscience, independent will and creative imagination. These give us the ultimate human freedom... The power to choose, to respond, to change.",Stephen Covey
"I wanted to be an independent woman, a woman who could pay for her bills, a woman who could run her own life - and I became that woman.",Diane von Furstenberg
"When your time comes to die, be not like those whose hearts are filled with fear of death, so that when their time comes they weep and pray for a little more time to live their lives over again in a different way. Sing your death song, and die like a hero going home.",Tecumseh
"I am closest to my mother, as she is my rock, my pillar of strength, and my world. Not only has she stood by me through all times - happy, sad, and otherwise - but there have even been moments when I had completely lost hope, and her immense belief in me had lifted me up.",Amruta Khanvilkar
"Most comedy is based on getting a laugh at somebody else's expense. And I find that that's just a form of bullying in a major way. So I want to be an example that you can be funny and be kind, and make people laugh without hurting somebody else's feelings.",Ellen DeGeneres
"More than ever before in human history, we share a common destiny. We can master it only if we face it together. And that, my friends, is why we have the United Nations.",Kofi Annan
"A day without sunshine is like, you know, night.",Steve Martin
"In fitness, there are no short cuts. It involves immense discipline and hard work.",Mahesh Babu
Derivatives are financial weapons of mass destruction.,Warren Buffett
"Let us never know what old age is. Let us know the happiness time brings, not count the years.",Ausonius
"Education is the key to success in life, and teachers make a lasting impact in the lives of their students.",Solomon Ortiz
"Voting is our right, but it is also our responsibility because if we don't take the next step and elect leaders who are committed to building a better future for our kids, other rights - our rights to clean air, clean water, health, and prosperity - are placed directly in harm's way.",Tom Steyer
My best friend is the one who brings out the best in me.,Henry Ford
"I don't look to find an educated person in the ranks of university graduates, necessarily. Some of the most educated people I know have never been near a university.",John Keegan
I think everybody has different priorities in their life. People live their lives differently. People become famous through all sorts of different reasons... some of it through art and some of it through just wanting to be famous. And I think how that all starts tends to reflect how you live your life daily.,Keith Urban
"I like the religion that teaches liberty, equality and fraternity.",B. R. Ambedkar
"I made decisions that I regret, and I took them as learning experiences... I'm human, not perfect, like anybody else.",Queen Latifah
Every drop in the ocean counts.,Yoko Ono
A little thought and a little kindness are often worth more than a great deal of money.,John Ruskin
"Love does not claim possession, but gives freedom.",Rabindranath Tagore
What is a weed? A plant whose virtues have never been discovered.,Ralph Waldo Emerson
"I'm looking forward to the future, and feeling grateful for the past.",Mike Rowe
"To enjoy good health, to bring true happiness to one's family, to bring peace to all, one must first discipline and control one's own mind. If a man can control his mind he can find the way to Enlightenment, and all wisdom and virtue will naturally come to him.",Buddha
"I believe that a trusting attitude and a patient attitude go hand in hand. You see, when you let go and learn to trust God, it releases joy in your life. And when you trust God, you're able to be more patient. Patience is not just about waiting for something... it's about how you wait, or your attitude while waiting.",Joyce Meyer
The best form of government is that which is most likely to prevent the greatest sum of evil.,James Monroe
"You build on failure. You use it as a stepping stone. Close the door on the past. You don't try to forget the mistakes, but you don't dwell on it. You don't let it have any of your energy, or any of your time, or any of your space.",Johnny Cash
I like food. I like eating. And I don't want to deprive myself of good food.,Sarah Michelle Gellar
"Neither man nor woman is perfect or complete without the other. Thus, no marriage or family, no ward or stake is likely to reach its full potential until husbands and wives, mothers and fathers, men and women work together in unity of purpose, respecting and relying upon each other's strengths.",Sheri L. Dew
"Technology is nothing. What's important is that you have a faith in people, that they're basically good and smart, and if you give them tools, they'll do wonderful things with them.",Steve Jobs
"People respond when you tell them there is a great future in front of you, you can leave your past behind.",Joel Osteen
"Love is an act of endless forgiveness, a tender look which becomes a habit.",Peter Ustinov
I keep my diet low in carbohydrates and high in protein.,Sullivan Stapleton
"I am not ashamed to say that no man I ever met was my father's equal, and I never loved any other man as much.",Hedy Lamarr
I am just a girl chasing her dreams and having an amazing adventure.,Madeline Stuart
"Architecture is basically the design of interiors, the art of organizing interior space.",Philip Johnson
"With integrity, you have nothing to fear, since you have nothing to hide. With integrity, you will do the right thing, so you will have no guilt.",Zig Ziglar
"Today I choose life. Every morning when I wake up I can choose joy, happiness, negativity, pain... To feel the freedom that comes from being able to continue to make mistakes and choices - today I choose to feel life, not to deny my humanity but embrace it.",Kevyn Aucoin
The power of imagination makes us infinite.,John Muir
True independence and freedom can only exist in doing what's right.,Brigham Young
"Land is the secure ground of home, the sea is like life, the outside, the unknown.",Stephen Gardiner
He that lives upon hope will die fasting.,Benjamin Franklin
Laughter is an instant vacation.,Milton Berle
"Throughout history, it has been the inaction of those who could have acted; the indifference of those who should have known better; the silence of the voice of justice when it mattered most; that has made it possible for evil to triumph.",Haile Selassie
We are all here on earth to help others; what on earth the others are here for I don't know.,W. H. Auden
"Physical fitness is not only one of the most important keys to a healthy body, it is the basis of dynamic and creative intellectual activity.",John F. Kennedy
The way to make money is to buy when blood is running in the streets.,John D. Rockefeller
"Every day is a new day, and you'll never be able to find happiness if you don't move on.",Carrie Underwood
Nothing in this world can take the place of persistence. Talent will not: nothing is more common than unsuccessful men with talent. Genius will not; unrewarded genius is almost a proverb. Education will not: the world is full of educated derelicts. Persistence and determination alone are omnipotent.,Calvin Coolidge
"Early to bed and early to rise makes a man healthy, wealthy and wise.",Benjamin Franklin
"We're born alone, we live alone, we die alone. Only through our love and friendship can we create the illusion for the moment that we're not alone.",Orson Welles
"The essence of Government is power; and power, lodged as it must be in human hands, will ever be liable to abuse.",James Madison
I'm an instant star. Just add water and stir.,David Bowie
There never will be complete equality until women themselves help to make laws and elect lawmakers.,Susan B. Anthony
Empathy begins with understanding life from another person's perspective. Nobody has an objective experience of reality. It's all through our own individual prisms.,Sterling K. Brown
"If we're destroying our trees and destroying our environment and hurting animals and hurting one another and all that stuff, there's got to be a very powerful energy to fight that. I think we need more love in the world. We need more kindness, more compassion, more joy, more laughter. I definitely want to contribute to that.",Ellen DeGeneres
Good health and good sense are two of life's greatest blessings.,Publilius Syrus
"Every human has four endowments - self awareness, conscience, independent will and creative imagination. These give us the ultimate human freedom... The power to choose, to respond, to change.",Stephen Covey
He plants trees to benefit another generation.,Caecilius Statius
"Let us not seek the Republican answer or the Democratic answer, but the right answer. Let us not seek to fix the blame for the past. Let us accept our own responsibility for the future.",John F. Kennedy
"The good times of today, are the sad thoughts of tomorrow.",Bob Marley
Friends are the siblings God never gave us.,Mencius
"Government of the people, by the people, for the people, shall not perish from the Earth.",Abraham Lincoln
It's fine to celebrate success but it is more important to heed the lessons of failure.,Bill Gates
"My smile has been my ticket to the world. Smiling releases the same feel-good hormones you get jogging. Caring for your lips and gums is important. I brush my teeth morning and night, alternating toothpaste brands. In addition to flossing, I use a Water Pik to massage my gums and remove food particles.",Christie Brinkley
"To us, family means putting your arms around each other and being there.",Barbara Bush
We need to reject any politics that targets people because of race or religion. This isn't a matter of political correctness. It's a matter of understanding what makes us strong. The world respects us not just for our arsenal; it respects us for our diversity and our openness and the way we respect every faith.,Barack Obama
"It is difficult to say what is impossible, for the dream of yesterday is the hope of today and the reality of tomorrow.",Robert H. Schuller
"Forgiveness is not always easy. At times, it feels more painful than the wound we suffered, to forgive the one that inflicted it. And yet, there is no peace without forgiveness.",Marianne Williamson
"People have got to learn: if they don't have cookies in the cookie jar, they can't eat cookies.",Suze Orman
"I'm a strong person, I'm a strong family man, I'm a strong husband and a strong father.",David Beckham
A heart without dreams is like a bird without feathers.,Suzy Kassem
"I think there is always a need for pure design. With pure design, you don't need so much decoration.",Jil Sander
"When your time comes to die, be not like those whose hearts are filled with fear of death, so that when their time comes they weep and pray for a little more time to live their lives over again in a different way. Sing your death song, and die like a hero going home.",Tecumseh
"No act of kindness, no matter how small, is ever wasted.",Aesop
They who dream by day are cognizant of many things which escape those who dream only by night.,Edgar Allan Poe
The best teamwork comes from men who are working independently toward one goal in unison.,James Cash Penney
There is nothing like staying at home for real comfort.,Jane Austen
"We must accept finite disappointment, but never lose infinite hope.","Martin Luther King, Jr."
"I love a man with a great sense of humor and who is intelligent - a man who has a great smile. He has to make me laugh. I like a man who is very ambitious and driven and who has a good heart and makes me feel safe. I like a man who is very strong and independent and confident - that is very sexy - but at the same time, he's very kind to people.",Nicole Scherzinger
You may not always have a comfortable life and you will not always be able to solve all of the world's problems at once but don't ever underestimate the importance you can have because history has shown us that courage can be contagious and hope can take on a life of its own.,Michelle Obama
My fake plants died because I did not pretend to water them.,Mitch Hedberg
True enjoyment comes from activity of the mind and exercise of the body; the two are ever united.,Wilhelm von Humboldt
The way to become rich is to put all your eggs in one basket and then watch that basket.,Andrew Carnegie
Happiness does not come from doing easy work but from the afterglow of satisfaction that comes after the achievement of a difficult task that demanded our best.,Theodore Isaac Rubin
Education is the key to unlock the golden door of freedom.,George Washington Carver
"All mankind... being all equal and independent, no one ought to harm another in his life, health, liberty or possessions.",John Locke
A true friend is one who overlooks your failures and tolerates your success!,Doug Larson
You are educated. Your certification is in your degree. You may think of it as the ticket to the good life. Let me ask you to think of an alternative. Think of it as your ticket to change the world.,Tom Brokaw
"I remember from my school days Archimedes jumping into his bath and displacing water and coming up with his famous principle, and of course Isaac Newton being hit on the head with an apple. In other words, this realm of human knowledge - which is mathematical, essentially - can have a playful visual element to it.",James Marsh
"I have a dream that one day on the red hills of Georgia, the sons of former slaves and the sons of former slave owners will be able to sit together at the table of brotherhood.","Martin Luther King, Jr."
